genes	chr	pos1	pos2	label	H1_rep1	H1_rep2	H1_rep3	H1_rep4	DEC_rep1	DEC_rep2	mean_H1	mean_DEC
RREB1	chr6	7180000	7185000	5	659.4153685095115	677.810187376746	700.4187863302292	675.9202275705018	1431.383541600725	1289.7510405684238	678.3911424467472	1360.5672910845744
SAMD4A	chr14	54625000	54630000	5	214.96941013410077	170.4672327534331	245.56515217952256	191.48691436458188	188.8865895261166	71.68419350205244	205.62217735790958	130.28539151408452
SCARB1	chr12	124860000	124865000	5	778.1101348412236	978.1572165137471	880.4068808254474	725.9354663970717	735.7398359290936	886.1746755765538	840.6524246443724	810.9572557528237
SCN5A	chr3	38620000	38625000	5	261.12848592976655	247.58336185617665	231.61258671477697	235.78612589668666	32.36675574999952	21.448813803763723	244.02764009935171	26.90778477688162
SCPEP1	chr17	57005000	57010000	5	709.5309365162344	680.5160164680702	717.1618648879239	698.7843367483622	361.34825822387523	331.8921714898176	701.4982886551477	346.6202148568464
SDK2	chr17	73425000	73430000	5	110.78178190959794	109.58607819863558	110.22526717149024	111.46253224207005	583.5677753134241	466.79392146612105	110.51391488044845	525.1808483897726
SDK2	chr17	73480000	73485000	5	110.78178190959794	109.58607819863558	110.22526717149024	111.46253224207005	583.5677753134241	466.79392146612105	110.51391488044845	525.1808483897726
SDK2	chr17	73635000	73640000	5	110.78178190959794	109.58607819863558	110.22526717149024	111.46253224207005	583.5677753134241	466.79392146612105	110.51391488044845	525.1808483897726
SEC14L5	chr16	4965000	4970000	5	212.33174866006271	235.40713094521715	249.75092181894624	211.49300989520984	13.04331948134309	22.013256272283822	227.245702829859	17.528287876813458
SEC14L5	chr16	5010000	5015000	5	212.33174866006271	235.40713094521715	249.75092181894624	211.49300989520984	13.04331948134309	22.013256272283822	227.245702829859	17.528287876813458
SEMA3F	chr3	50180000	50185000	5	685.7919832498919	756.2792310251516	743.6717392709405	678.7782412177343	542.0223873358128	973.0988157286489	716.1302986909295	757.5606015322309
SEMA4D	chr9	89420000	89425000	5	693.7049676720061	673.7514437397595	757.6243047356861	701.6423503955948	345.4064233022337	352.21210035654116	706.6807666357616	348.8092618293874
SEMA5B	chr3	122945000	122950000	5	328.3888535177367	366.6398418744474	313.932722956776	322.9555421372799	2985.953989414135	4091.07901183367	332.97924012156	3538.516500623902
SEPT9	chr17	77335000	77340000	5	7396.002773202681	7101.448450180717	7068.369664440122	6850.658712416459	7061.749784380492	6554.305944455377	7104.1199000599945	6808.027864417934
SEPT9	chr17	77375000	77380000	5	7396.002773202681	7101.448450180717	7068.369664440122	6850.658712416459	7061.749784380492	6554.305944455377	7104.1199000599945	6808.027864417934
SEPT9	chr17	77490000	77495000	5	7396.002773202681	7101.448450180717	7068.369664440122	6850.658712416459	7061.749784380492	6554.305944455377	7104.1199000599945	6808.027864417934
SEPT9	chr17	77395000	77400000	5	7396.002773202681	7101.448450180717	7068.369664440122	6850.658712416459	7061.749784380492	6554.305944455377	7104.1199000599945	6808.027864417934
SERINC5	chr5	80220000	80225000	5	2129.911640285722	2126.7816657809276	2240.7820136381433	2266.4048222554243	6012.004109085732	6473.026228988483	2190.970035490054	6242.515169037108
SERPINB9P1	chr6	2850000	2855000	5	NA	NA	NA	NA	NA	NA	NA	NA
SFXN5	chr2	72995000	73000000	5	410.1563592129162	446.4618000685153	461.82991688307936	435.8470812029662	417.3862234029789	508.56266413660825	438.57378934186926	462.97444376979354
SGMS1	chr10	50620000	50625000	5	208.37525644900563	217.81924185160898	242.77463908657344	257.2212282509309	262.315647347011	207.15038594687596	231.54759140952973	234.7330166469435
SGMS1-AS1	chr10	50620000	50625000	5	NA	NA	NA	NA	NA	NA	NA	NA
SH3BP2	chr4	2835000	2840000	5	636.9952459801881	666.9868710114486	615.308136995281	553.0256407395015	937.1866590298368	1032.3652749232592	618.0789736816048	984.775966976548
SH3BP4	chr2	235040000	235045000	5	894.1672396988977	995.7451056073553	999.003687275785	853.1170736989208	3077.740311690253	2617.3197265276945	935.5082765702397	2847.5300191089736
SH3BP5	chr3	15325000	15330000	5	121.33242780575011	124.46813820091941	128.36360227565953	134.32664141993058	638.639568679095	585.8912823238617	127.12270242556491	612.2654255014784
SH3PXD2A	chr10	103665000	103670000	5	451.04011206050586	446.4618000685153	438.11055559301184	418.6989993195708	2352.6283657089202	1455.1326838448126	438.577866760401	1903.8805247768664
SHB	chr9	37950000	37955000	5	152.98436549420668	137.9972836575411	140.92091119393058	118.60756636015147	1640.0766533022145	1695.0207329658542	137.62753167645747	1667.5486931340342
SHISA9	chr16	12910000	12915000	5	1572.0462385266756	1601.8508220640065	1425.9521904970004	1626.2097652753298	3311.553890540996	3029.927171015886	1556.514754090753	3170.740530778441
SHISAL1	chr22	44265000	44270000	5	NA	NA	NA	NA	NA	NA	NA	NA
SHMT2	chr12	57230000	57235000	5	6273.677815999493	6351.933791883876	6461.433066723687	6354.793344621609	2169.0557211566843	2915.345349906306	6360.459504807166	2542.200535531495
SHROOM3	chr4	76510000	76515000	5	850.6458253772698	884.8061128630576	806.4582838622957	828.8239576974439	711.585540593273	650.2377237351528	842.6835449500168	680.911632164213
SIGLEC15	chr18	45835000	45840000	5	1.318830737019023	1.3529145456621676	1.39525654647456	0	3.3816013470148754	0	1.0167504572889376	1.6908006735074377
SIPA1L3	chr19	38055000	38060000	5	585.5608472364462	620.987776458935	567.8694144151459	557.3126612103503	620.7653901305878	612.9845208128264	582.9326748302193	616.8749554717072
SIPA1L3	chr19	37995000	38000000	5	585.5608472364462	620.987776458935	567.8694144151459	557.3126612103503	620.7653901305878	612.9845208128264	582.9326748302193	616.8749554717072
SIPA1L3	chr19	37930000	37935000	5	585.5608472364462	620.987776458935	567.8694144151459	557.3126612103503	620.7653901305878	612.9845208128264	582.9326748302193	616.8749554717072
SIPA1L3	chr19	38000000	38005000	5	585.5608472364462	620.987776458935	567.8694144151459	557.3126612103503	620.7653901305878	612.9845208128264	582.9326748302193	616.8749554717072
SIPA1L3	chr19	37985000	37990000	5	585.5608472364462	620.987776458935	567.8694144151459	557.3126612103503	620.7653901305878	612.9845208128264	582.9326748302193	616.8749554717072
SLC12A8	chr3	125200000	125205000	5	255.85316298169047	248.93627640183882	287.4228485737594	217.20903718967497	176.32635595148992	196.4259790449941	252.35533128674092	186.376167498242
SLC13A2	chr17	28490000	28495000	5	0	0	0	0	0	0	0	0
SLC22A23	chr6	3410000	3415000	5	1325.424890704118	1316.385852929289	1340.8415411620522	1306.1122367852824	267.1465064141751	276.01236710632793	1322.1911303951854	271.5794367602515
SLC24A1	chr15	65640000	65645000	5	191.23045686775833	155.58517275114926	156.26873320515074	177.19684612841905	81.15843232835701	63.217556474250976	170.07030223811935	72.187994401304
SLC26A2	chr5	149985000	149990000	5	323.11353056966067	369.3456709657717	340.44259733979266	407.26694473064055	504.82477251864924	354.46987023062155	360.0421859014664	429.6473213746354
SLC2A1-AS1	chr1	42960000	42965000	5	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A14	chr12	7860000	7865000	5	134.52073517594036	146.1147709315141	152.08296356572706	157.1907505977911	812.5504950970029	643.4644141129116	147.47730506774315	728.0074546049573
SLC2A3	chr12	7915000	7920000	5	11399.972890792435	11470.009518123856	11542.957408984035	11654.979653414402	77333.84120488318	77723.72791521749	11516.979867828682	77528.78456005034
SLC34A2	chr4	25660000	25665000	5	134.52073517594036	133.9385400205546	115.80629335738848	135.75564824354686	416.90313749626245	444.7806651938372	130.00530419935757	430.8419013450498
SLC39A11	chr17	72980000	72985000	5	232.11420971534807	194.81969457535212	210.68373851765858	200.06095530627957	153.1382324291022	163.6883158708284	209.4196495286596	158.4132741499653
SLC45A4	chr8	141285000	141290000	5	178.04214949756812	188.05512184704128	195.3359165064384	194.34492801181446	271.49427957462285	250.0480135544034	188.94452896571556	260.7711465645131
SLC48A1	chr12	47780000	47785000	5	209.69408718602466	224.58381457991982	185.5691206811165	160.04876424502368	257.96787418656334	291.81675622489064	194.97394667302115	274.89231520572696
SLC4A3	chr2	219635000	219640000	5	151.66553475718766	144.76185638585193	160.45450284457442	124.3235936546166	282.6052554291003	388.3364183418274	145.30137191055766	335.4708368854639
SLC4A8	chr12	51510000	51515000	5	79.12984422114138	75.76321455708138	79.52962314904993	102.88849130037235	203.37916672760892	91.43967990025587	84.32779330691126	147.4094233139324
SLC6A6	chr3	14430000	14435000	5	2985.8327886110683	3106.2917968403367	3016.544653477999	3069.5066571277753	2094.660491522357	2134.7214159430105	3044.5439740142947	2114.6909537326837
SLC8B1	chr12	113295000	113300000	5	NA	NA	NA	NA	NA	NA	NA	NA
SLCO3A1	chr15	92100000	92105000	5	158.25968844228277	146.1147709315141	132.5493719150832	120.03657318376774	56.037965179103644	52.49314957236911	139.24010111816196	54.26555737573638
SMAD3	chr15	67085000	67090000	5	299.37457730331823	289.52371277170386	279.051309294912	242.93116001476807	1314.95983808207	1215.244634723771	277.7201898461756	1265.1022364029204
SMAD6	chr15	66715000	66720000	5	29.01427621441851	31.117034550229853	13.9525654647456	30.009143295941936	909.6507623470014	1225.4045991571327	26.023254881333976	1067.527680752067
SNHG26	chr7	22850000	22855000	5	NA	NA	NA	NA	NA	NA	NA	NA
SORBS1	chr10	95355000	95360000	5	614.5751234508648	619.6348619132727	591.5887757052135	621.617968273083	261.8325614402946	160.8661035282279	611.8541823356085	211.34933248426125
SORBS1	chr10	95530000	95535000	5	614.5751234508648	619.6348619132727	591.5887757052135	621.617968273083	261.8325614402946	160.8661035282279	611.8541823356085	211.34933248426125
SORBS2	chr4	185630000	185635000	5	168.81033433843496	162.3497454794601	175.80232485579458	154.33273695055854	82.60769004850624	79.02194559281372	165.32378540606203	80.81481782065998
SOX7	chr8	10730000	10735000	5	18.463630318266322	17.58788909360818	13.9525654647456	14.290068236162828	117.87296123880422	34.43099057972598	16.073538278195734	76.1519759092651
SP3	chr2	173965000	173970000	5	1397.9605812401644	1385.3844947580596	1308.7506405931374	1436.151857734364	1644.9075123693785	1373.8529683779184	1382.0618935814314	1509.3802403736486
SPATA20	chr17	50555000	50560000	5	276.9544547739948	304.4057727739877	315.32797950325056	272.94030331071	526.5636383208877	660.3976881685146	292.40712759048574	593.4806632447012
SPATS2L	chr2	200475000	200480000	5	2529.5173536024863	2505.597738566334	2405.4222861221415	2516.481016388274	2269.0545038469813	1940.553206772097	2489.2545986698087	2104.8038553095394
SPECC1	chr17	20190000	20195000	5	1026.0503134008	949.7460110548416	1003.1894569152087	998.8757697077816	655.5475754141694	600.0023440368642	994.4653877696579	627.7749597255167
SPOCK1	chr5	137205000	137210000	5	278.27328551101385	258.406678221474	276.2607962019629	285.80136472325654	1967.608898055941	2538.2977809348804	274.68553116442683	2252.9533394954105
SPOCK2	chr10	72080000	72085000	5	64.62270611393213	63.58698364612187	58.60077495193152	87.16941624059325	14.975663108208733	29.351008363045093	68.49497023814469	22.163335735626912
SPON1	chr11	13960000	13965000	5	88.36165938027455	73.05738546575705	82.32013624199904	62.87630023911644	125.11924983955038	25.964353551924507	76.65387033178676	75.54180169573745
SSBP3	chr1	54315000	54320000	5	1880.652630989127	1766.9063966347908	1755.2327354649965	1654.7899017476554	4469.027723033516	4609.23719793512	1764.3954162091425	4539.132460484318
SSBP3	chr1	54230000	54235000	5	1880.652630989127	1766.9063966347908	1755.2327354649965	1654.7899017476554	4469.027723033516	4609.23719793512	1764.3954162091425	4539.132460484318
SSBP3	chr1	54360000	54365000	5	1880.652630989127	1766.9063966347908	1755.2327354649965	1654.7899017476554	4469.027723033516	4609.23719793512	1764.3954162091425	4539.132460484318
ST5	chr11	8810000	8815000	5	352.12780678407916	373.40441460275827	396.25285919877507	352.9646854332218	2342.966647574592	3003.9628174639615	368.68744150470854	2673.464732519277
STEAP1B	chr7	22720000	22725000	5	48.796737269703854	48.70492364383803	55.8102618589824	41.441197884872196	237.19518019775768	278.8345794489284	48.68828016434912	258.01487982334305
STIM1	chr11	3855000	3860000	5	213.65057939708174	234.05421639955497	205.10271233176033	180.0548597756516	756.5125299178992	707.8108555242029	208.21559197601215	732.161692721051
STK24	chr13	98550000	98555000	5	2594.1400597164184	2506.9506531119964	2563.0862758737667	2655.0946782790534	2726.536857507422	2734.1593175113544	2579.8179167453086	2730.3480875093883
STN1	chr10	103890000	103895000	5	NA	NA	NA	NA	NA	NA	NA	NA
STPG4	chr2	47150000	47155000	5	NA	NA	NA	NA	NA	NA	NA	NA
STX16-NPEPL1	chr20	58690000	58695000	5	NA	NA	NA	NA	NA	NA	NA	NA
SUSD6	chr14	69695000	69700000	5	NA	NA	NA	NA	NA	NA	NA	NA
SWAP70	chr11	9685000	9690000	5	695.0237984090252	689.9864182877054	701.8140428767038	687.352282159432	1064.238252496253	1034.6230447973396	693.5441354332165	1049.4306486467963
SYNPO2	chr4	118880000	118885000	5	85.72399790623649	82.52778728539222	59.99603149840608	98.6014708295235	9.178632227611804	10.724406901881862	81.71232187988957	9.951519564746832
SYT2	chr1	202710000	202715000	5	601.3868160806745	588.5178273630429	587.4030060657898	573.0317362701294	168.59698144402736	111.7596087669794	587.5848464449091	140.17829510550337
SYT8	chr11	1825000	1830000	5	0	0	0	0	0	0	0	0
TANC1	chr2	158975000	158980000	5	139.79605812401644	140.70311274886544	139.525654647456	164.3357847158725	1252.6417561156532	867.5480741153906	146.0901525590526	1060.0949151155219
TAPT1	chr4	16185000	16190000	5	114.738274120655	108.2331636529734	93.48218861379553	100.03047765313978	136.71331160074425	158.60833365414754	104.12102601014092	147.6608226274459
TBC1D1	chr4	38130000	38135000	5	1764.5955261314527	1615.379967520628	1640.8216986540826	1700.5181201033763	1262.3034742499813	1155.9781755291606	1680.328828102385	1209.140824889571
TBC1D14	chr4	6910000	6915000	5	1918.8987223626784	1883.2570475617372	1827.7860758816737	1731.9562702229346	1374.862490514905	1238.386775933095	1840.474529007256	1306.6246332239998
TBC1D8	chr2	101040000	101045000	5	444.4459583754108	419.40350915527193	432.5295294071136	430.1310539085011	63.76733968656622	57.008689320529896	431.62751271157435	60.38801450354806
TBCD	chr17	82790000	82795000	5	2224.867453351092	2251.249803981847	2166.833416674992	2136.3652013063424	1932.8267127723593	2169.1524065227363	2194.8289688285686	2050.989559647548
TBCE	chr1	235335000	235340000	5	675.2413373537398	672.3985291940973	712.9760952485002	704.5003640428274	442.5066905522322	404.70524992891023	691.2790814597912	423.6059702405712
TBPL1	chr6	133980000	133985000	5	381.14208299849764	366.6398418744474	362.7667020833856	428.7020470848848	258.4509600932798	292.38119869341074	384.81266851030387	275.4160793933453
TCF20	chr22	42275000	42280000	5	1222.5560932166343	1315.0329383836267	1250.149865641206	1257.5260047823288	1810.122892466391	1507.0613909486615	1261.316225505949	1658.5921417075263
TCF20	chr22	42175000	42180000	5	1222.5560932166343	1315.0329383836267	1250.149865641206	1257.5260047823288	1810.122892466391	1507.0613909486615	1261.316225505949	1658.5921417075263
TCF7L1	chr2	85190000	85195000	5	2404.228433585679	2458.2457294681585	2438.908443237531	2350.7162248487853	1832.8279300820623	2573.293213983127	2413.0247077850386	2203.060572032595
TCOF1	chr5	150390000	150395000	5	4085.7376232849333	3941.040071513894	4057.4060371480205	3938.342805886475	2367.604028817129	2393.8005089937355	4005.6316344583306	2380.702268905432
TCP10L	chr21	32585000	32590000	5	3.956492211057069	6.764572728310838	6.9762827323728	10.00304776531398	6.2801167873133394	9.031079496321567	6.925098859263672	7.655598141817453
TCP11	chr6	35135000	35140000	5	1.318830737019023	2.7058290913243352	0	1.4290068236162827	0.9661718134328214	3.3866548111205876	1.3634166629899103	2.1764133122767046
TEAD1	chr11	12885000	12890000	5	1044.5139437190662	1118.8603292626126	1142.7151115626648	1238.9489160753171	2945.3747732499564	1904.4288887868106	1136.2595751549152	2424.9018310183837
TEAD4	chr12	3010000	3015000	5	1626.1182987444554	1615.379967520628	1718.956065256658	1493.3121306790154	456.03309594029173	515.3359737588495	1613.4416155501892	485.6845348495706
TESK2	chr1	45490000	45495000	5	97.59347453940771	87.93944546804089	87.90116242789729	104.31749812398864	101.44804041044625	117.40403345218037	94.43789513983363	109.42603693131332
TFIP11	chr22	26500000	26505000	5	593.4738316585604	618.2819473676105	671.1183988542634	683.0652616885832	514.9695765596939	527.1892655977715	641.4848598922543	521.0794210787327
TG	chr8	132985000	132990000	5	0	1.3529145456621676	0	0	4.830859067164107	0	0.3382286364155419	2.4154295335820537
THSD4	chr15	71125000	71130000	5	127.92658149084524	148.82060002283842	146.5019373798288	105.74650494760492	263.28181916044383	51.928707103849014	132.24890596027933	157.60526313214643
TIAM2	chr6	154995000	155000000	5	88.36165938027455	131.23271092923025	110.22526717149024	140.04266871439572	327.04915884701006	395.67417043258865	117.4655765488477	361.36166463979936
TIAM2	chr6	154925000	154930000	5	88.36165938027455	131.23271092923025	110.22526717149024	140.04266871439572	327.04915884701006	395.67417043258865	117.4655765488477	361.36166463979936
TJP1	chr15	29850000	29855000	5	2715.4724875221686	2719.3582367809568	2758.422192380205	2845.152585820019	2552.6259310895143	1885.8022873256473	2759.601375625837	2219.214109207581
TKT	chr3	53250000	53255000	5	17937.416854195733	18403.696564642465	18109.034716693313	17422.45119352972	5608.144291070812	6191.369437196955	17968.149832265306	5899.756864133884
TLN2	chr15	62785000	62790000	5	642.2705689282642	658.8693837374756	650.189550657145	671.63320709965285	2785.4733381268243	2297.8452893453186	655.7406776056343	2541.6593137360715
TMED10	chr14	75170000	75175000	5	2652.1686121452553	2619.2425604019563	2551.92422350197	2872.303715468728	4364.198081276055	4682.050276374212	2673.9097778794776	4523.124178825134
TMEM120B	chr12	121770000	121775000	5	600.0679853436554	614.223203730624	648.7942941106704	628.7630023911644	882.5979515708824	1138.4804590050376	622.9621213940286	1010.5392052879599
TMEM132D	chr12	129775000	129780000	5	174.08565728651104	162.3497454794601	192.54540341348928	210.06400307159356	130.9162807201473	129.82176775962253	184.7612023127635	130.36902423988494
TMEM154	chr4	152640000	152645000	5	47.47790653268483	44.64618000685153	41.857696394236804	54.30225929741874	26.56972486940259	15.239946650042645	47.071010557797976	20.90483575972262
TMEM158	chr3	45220000	45225000	5	163.53501139035885	169.11431820777094	142.31616774040512	110.03352541845376	192.7512767798479	58.137574257570094	146.24975568924717	125.444425518709
TMEM178B	chr7	141270000	141275000	5	NA	NA	NA	NA	NA	NA	NA	NA
TMEM198	chr2	219540000	219545000	5	238.70836340044318	234.05421639955497	228.82207362182785	238.6441395439192	46.859332951491844	51.928707103849014	235.0571982414363	49.39402002767043
TMEM266	chr15	76055000	76060000	5	NA	NA	NA	NA	NA	NA	NA	NA
TMPRSS9	chr19	2385000	2390000	5	6.594153685095115	4.058743636986502	8.37153927884736	2.8580136472325655	1.9323436268656429	2.8222123426004897	5.470612562040386	2.377277984733066
TNIK	chr3	171380000	171385000	5	1471.8151025132297	1476.0297693174248	1533.3869445755415	1514.7472330332596	1057.475049802223	669.9932101333563	1498.994762359864	863.7341299677897
TNRC6C	chr17	78000000	78005000	5	423.3446665831064	393.6981327876908	435.32004250006275	397.2638969653266	331.8800179141742	297.4611809100916	412.40668470904666	314.6705994121329
TNS1	chr2	217980000	217985000	5	90.99932085431259	90.64527455936522	103.24898443911745	60.01828659188387	270.52810776119003	59.83090166313038	86.22796661116978	165.1795047121602
TNS3	chr7	47575000	47580000	5	675.2413373537398	623.6936055502592	662.746859575416	631.621016038397	986.9445074216271	634.9977770851102	648.325704629453	810.9711422533687
TNS3	chr7	47375000	47380000	5	675.2413373537398	623.6936055502592	662.746859575416	631.621016038397	986.9445074216271	634.9977770851102	648.325704629453	810.9711422533687
TOB1	chr17	50860000	50865000	5	199.14344128987247	209.70175457763597	182.77860758816738	237.21513272030293	414.4877079626804	460.02061184387986	207.20973404399467	437.25415990328014
TPCN1	chr12	113245000	113250000	5	342.89599162494596	320.6407473219337	389.2765764664023	281.5143442524077	229.4658056902951	286.17233153968965	333.5819149164224	257.8190686149924
TPCN1	chr12	113295000	113300000	5	342.89599162494596	320.6407473219337	389.2765764664023	281.5143442524077	229.4658056902951	286.17233153968965	333.5819149164224	257.8190686149924
TPD52	chr8	80080000	80085000	5	432.57648174223954	470.8142618904343	366.9524717228093	452.99516308636163	327.04915884701006	348.82544554542056	430.8345946104612	337.93730219621534
TPM1	chr15	63040000	63045000	5	4487.980998075735	4556.61618979018	4462.030435625643	4589.9699174555	10059.780921462538	8372.939578027133	4524.149385236765	9216.360249744836
TPRX1	chr19	47800000	47805000	5	0	0	0	0	0.9661718134328214	0.5644424685200979	0	0.7653071409764597
TPST2	chr22	26585000	26590000	5	882.2977630657264	878.0415401347467	933.4266295914807	867.4071419350836	741.5368668096905	802.6371902355793	890.2932686817594	772.0870285226349
TRAF3	chr14	102780000	102785000	5	267.7226396148617	242.171703673528	281.84182238786116	251.50520095646576	514.9695765596939	408.6563472085509	260.81034165817914	461.8129618841224
TRERF1	chr6	42395000	42400000	5	669.9660144056637	702.162649198665	682.2804512260599	705.9293708664436	70.04745647387956	71.11975103353234	690.0846214242081	70.58360375370594
TTC7B	chr14	90690000	90695000	5	246.6213478225573	239.46587458220367	256.72720455131906	255.79222142731462	508.2063738656641	460.02061184387986	249.65166209584868	484.11349285477195
TTC9	chr14	70660000	70665000	5	999.6736986604195	1026.8621401575851	979.4700956251412	966.008612764607	705.788509712676	738.8551912928083	993.0036368019382	722.3218505027421
TUNAR	chr14	95895000	95900000	5	NA	NA	NA	NA	NA	NA	NA	NA
UBAC2	chr13	99285000	99290000	5	1035.2821285599332	1022.8033965205987	1049.2329229488691	1004.5917970022467	930.4234563358071	1052.6852037899828	1027.977561257912	991.5543300628949
UBTD1	chr10	97495000	97500000	5	294.0992543552421	327.40532005024454	336.256827700369	318.66852166643105	285.02068496268237	328.505516678697	319.10748094307166	306.7631008206897
UIMC1	chr5	176945000	176950000	5	403.56220552782105	412.6389364269611	400.4386288381987	415.84098567233826	530.9114114813354	553.153619149696	408.1201891163298	542.0325153155158
UNC5A	chr5	176860000	176865000	5	54.07206021777994	70.35155637443272	59.99603149840608	47.15722517933733	7.246288600746161	5.644424685200979	57.89421831748902	6.44535664297357
USP13	chr3	179660000	179665000	5	931.0945003354303	869.9240528607737	863.6638022677527	874.552176053165	498.0615698246195	380.99866625106614	884.8086328792804	439.53011803784284
UST	chr6	148975000	148980000	5	822.9503798998704	817.1603855799492	799.4820011299229	810.2468689904323	342.9909937686516	275.44792463780783	812.4599089000437	309.2194592032297
UXS1	chr2	106115000	106120000	5	833.5010257960225	814.4545564886248	732.5096868991441	745.9415619276996	572.9398853656631	518.7226285699701	781.6017077778728	545.8312569678167
VAPB	chr20	58440000	58445000	5	1346.5261824964225	1459.7947947694788	1339.4462846155777	1537.6113422111202	1189.3575023358032	1119.2894150753543	1420.8446510231497	1154.3234587055788
VAV2	chr9	133785000	133790000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133915000	133920000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133825000	133830000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133955000	133960000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133970000	133975000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133980000	133985000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133940000	133945000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133835000	133840000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VAV2	chr9	133890000	133895000	5	949.5581306536966	859.1007364954764	959.9365039744973	921.7094012325024	881.1486938507333	909.3168167858778	922.5761930890432	895.2327553183055
VEZF1	chr17	57970000	57975000	5	995.7172064493624	970.0397292397741	996.2131741828359	1034.6009402981886	905.3029891865538	772.7217394040141	999.1427625425403	839.012364295284
VIPR2	chr7	159105000	159110000	5	39.56492211057069	41.94035091552719	48.8339791266096	50.01523882656989	364.7298595708901	477.51832836800287	45.08862274481935	421.12409396944645
VIPR2	chr7	159135000	159140000	5	39.56492211057069	41.94035091552719	48.8339791266096	50.01523882656989	364.7298595708901	477.51832836800287	45.08862274481935	421.12409396944645
WASF2	chr1	27485000	27490000	5	2148.3752706039886	2221.485683977279	2278.4539403929566	2232.1086584886334	3174.8405789402514	3296.344016157372	2220.1058883657142	3235.592297548812
WDR59	chr16	74995000	75000000	5	989.1230527642673	1018.7446528836122	999.003687275785	1018.8818652384095	659.8953485746171	812.232712200421	1006.4383145405185	736.0640303875191
WDR87	chr19	37900000	37905000	5	0	1.3529145456621676	0	0	0	0.5644424685200979	0.3382286364155419	0.28222123426004897
WSCD2	chr12	108200000	108205000	5	17.144799581247298	14.882060002283843	27.9051309294912	11.432054588930262	7.7293745074625715	7.902194559281372	17.84101127548815	7.815784533371971
WWC1	chr5	168365000	168370000	5	828.2257028479464	809.0428983059762	837.153927884736	741.6545414568507	265.6972486940259	281.6567917915289	804.0192676238773	273.6770202427774
WWOX	chr16	78255000	78260000	5	106.82528969854087	108.2331636529734	76.7391100561008	94.31445035867466	1359.4037414999798	1660.5897423861281	96.52800344157244	1509.996741943054
XXYLT1	chr3	195250000	195255000	5	484.01088048598143	505.99004007765063	475.78248234782495	478.7172859114547	838.6371340596891	863.59697683575	486.12517220572795	851.1170554477195
YWHAH	chr22	31945000	31950000	5	3687.4507407051883	3574.4002296394465	3661.1531779492457	3565.3720249226253	3413.4850168581584	3705.000363365923	3622.0940433041264	3559.2426901120407
Z82190.2	chr22	31910000	31915000	5	NA	NA	NA	NA	NA	NA	NA	NA
Z82190.2	chr22	31945000	31950000	5	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB20	chr3	114385000	114390000	5	5.275322948076092	4.058743636986502	4.18576963942368	5.716027294465131	0	0	4.808965879737851	0
ZBTB20-AS1	chr3	114385000	114390000	5	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB46	chr20	63775000	63780000	5	437.85180469031565	407.2272782443124	385.09080682697856	371.5417741402335	469.0764154216348	476.95388589948277	400.42791597546	473.0151506605588
ZEB2	chr2	144500000	144505000	5	2.637661474038046	2.7058290913243352	2.79051309294912	7.145034118081414	457.482353660441	115.71070604662009	3.8197594440982288	286.59652985353057
ZHX2	chr8	122790000	122795000	5	536.7641099667424	520.8721000799345	548.3358227645022	517.3004701490943	977.7658751940154	935.8456128063225	530.8181257400684	956.8057440001689
ZMIZ1	chr10	79070000	79075000	5	822.9503798998704	842.8657619475304	809.2487969552449	820.2499167557463	2082.1002579477304	1658.896414980568	823.828713889598	1870.4983364641491
ZMYND8	chr20	47235000	47240000	5	2802.515316165424	2795.1214513380382	2921.6672083177286	2846.5815926436353	1297.0856595335629	1247.4178554294165	2841.4713921162065	1272.2517574814897
ZMYND8	chr20	47315000	47320000	5	2802.515316165424	2795.1214513380382	2921.6672083177286	2846.5815926436353	1297.0856595335629	1247.4178554294165	2841.4713921162065	1272.2517574814897
ZNF217	chr20	53575000	53580000	5	1386.0911046069932	1398.9136402146812	1435.7189863223223	1346.1244278465383	1983.5507329775826	1695.5851754343744	1391.7120397476338	1839.5679542059784
ZNF366	chr5	72505000	72510000	5	0	0	0	0	0.4830859067164107	0	0	0.24154295335820536
